,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
4022,4022,33,self-employed,married,tertiary,no,1278,no,no,cellular,6,oct,649,1,-1,0,unknown,yes
9272,9272,30,blue-collar,married,primary,no,35,yes,no,cellular,11,jul,366,2,-1,0,unknown,no
2943,2943,24,student,single,secondary,no,382,no,no,cellular,13,nov,256,2,92,3,failure,yes
3611,3611,26,services,single,tertiary,no,12,no,no,cellular,14,jun,563,1,181,10,failure,yes
10931,10931,58,admin.,married,primary,no,879,yes,no,unknown,16,may,242,7,-1,0,unknown,no
8895,8895,57,management,divorced,unknown,no,0,no,no,cellular,27,mar,102,1,-1,0,unknown,no
5061,5061,34,admin.,married,secondary,no,1406,yes,no,cellular,20,aug,63,2,85,1,success,yes
4214,4214,33,management,single,tertiary,no,87,no,no,cellular,12,aug,978,1,-1,0,unknown,yes
6513,6513,47,services,married,secondary,no,2597,yes,no,unknown,16,may,323,1,-1,0,unknown,no
3459,3459,61,retired,married,secondary,no,1058,no,no,cellular,27,apr,159,3,-1,0,unknown,yes
9429,9429,33,management,married,tertiary,no,5,yes,no,unknown,7,aug,12,1,-1,0,unknown,no
9139,9139,63,entrepreneur,married,tertiary,no,2707,no,no,telephone,16,nov,57,4,-1,0,unknown,no
958,958,37,entrepreneur,divorced,tertiary,no,66,no,no,cellular,18,nov,1164,2,-1,0,unknown,yes
3763,3763,41,technician,single,tertiary,no,431,no,no,cellular,23,jul,196,1,88,5,failure,yes
3632,3632,33,management,single,tertiary,no,224,no,no,cellular,23,jun,342,2,107,2,success,yes
8939,8939,46,self-employed,divorced,secondary,no,0,no,no,unknown,10,aug,6,1,-1,0,unknown,no
1044,1044,39,admin.,single,secondary,no,2263,yes,yes,telephone,21,nov,1158,9,-1,0,unknown,yes
2341,2341,61,management,married,tertiary,no,997,no,no,cellular,22,jun,269,1,104,1,success,yes
11010,11010,55,unemployed,married,primary,no,8585,no,no,telephone,28,jan,201,2,-1,0,unknown,no
6627,6627,55,blue-collar,married,secondary,no,2059,yes,no,cellular,11,may,149,1,259,4,failure,no
4388,4388,67,retired,single,tertiary,no,2144,no,no,telephone,21,apr,847,2,-1,0,unknown,yes
10646,10646,47,blue-collar,married,primary,no,292,no,yes,telephone,28,jul,210,3,-1,0,unknown,no
7650,7650,31,unknown,married,secondary,no,3,no,no,cellular,20,jul,91,2,-1,0,unknown,no
7746,7746,50,management,single,unknown,no,1277,no,no,cellular,4,may,63,1,-1,0,unknown,no
2761,2761,43,services,married,primary,no,2557,yes,no,telephone,15,oct,166,3,183,5,success,yes
6180,6180,44,management,divorced,tertiary,no,3932,yes,no,unknown,8,may,40,2,-1,0,unknown,no
252,252,45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes
1668,1668,54,admin.,divorced,secondary,no,1693,no,no,cellular,30,apr,1277,1,87,2,other,yes
2610,2610,34,blue-collar,married,secondary,no,1464,yes,no,cellular,28,aug,207,3,130,5,other,yes
3534,3534,52,management,married,tertiary,no,583,no,no,cellular,17,may,376,1,181,3,success,yes
497,497,44,blue-collar,single,secondary,no,292,no,yes,cellular,17,jul,1153,4,-1,0,unknown,yes
7722,7722,33,self-employed,married,secondary,no,215,yes,no,cellular,29,jul,543,12,-1,0,unknown,no
10375,10375,43,services,married,secondary,no,192,yes,yes,unknown,30,may,273,2,-1,0,unknown,no
3568,3568,39,unemployed,divorced,secondary,no,265,yes,no,unknown,27,may,93,1,555,2,other,yes
1159,1159,57,admin.,married,secondary,no,4391,no,no,telephone,4,feb,1416,1,-1,0,unknown,yes
9822,9822,37,management,single,tertiary,no,0,no,no,cellular,7,jul,643,3,-1,0,unknown,no
3878,3878,41,admin.,married,secondary,no,2498,no,no,cellular,12,aug,411,1,-1,0,unknown,yes
10920,10920,40,services,married,secondary,no,664,yes,yes,cellular,18,may,29,5,-1,0,unknown,no
3357,3357,60,admin.,married,secondary,no,3735,no,no,cellular,22,mar,248,1,90,10,success,yes
8304,8304,38,self-employed,married,secondary,no,279,yes,no,unknown,28,may,110,5,-1,0,unknown,no
5023,5023,50,management,married,tertiary,no,3463,no,yes,cellular,28,oct,96,1,-1,0,unknown,yes
5957,5957,48,management,divorced,tertiary,no,1401,yes,no,unknown,20,jun,72,3,-1,0,unknown,no
4020,4020,31,student,single,secondary,no,3511,no,no,cellular,6,oct,311,1,96,1,success,yes
8080,8080,42,housemaid,married,primary,yes,16,no,no,unknown,11,jun,79,1,-1,0,unknown,no
10795,10795,49,entrepreneur,married,tertiary,no,313,yes,no,cellular,17,nov,42,2,188,2,failure,no
5827,5827,40,management,married,secondary,no,4025,yes,no,cellular,15,jul,107,4,-1,0,unknown,no
6756,6756,30,blue-collar,married,secondary,no,194,yes,no,cellular,8,may,475,3,-1,0,unknown,no
6398,6398,35,technician,married,secondary,no,905,no,yes,cellular,21,aug,114,2,-1,0,unknown,no
6393,6393,27,services,married,secondary,no,54,yes,no,cellular,18,may,97,1,370,1,failure,no
8485,8485,50,blue-collar,married,primary,no,9301,yes,no,cellular,7,jul,136,4,-1,0,unknown,no
856,856,32,management,single,tertiary,no,1882,no,no,cellular,25,aug,497,5,-1,0,unknown,yes
9311,9311,35,management,single,tertiary,no,0,no,yes,cellular,14,aug,370,4,-1,0,unknown,no
6655,6655,57,housemaid,married,primary,no,260,yes,no,unknown,16,may,38,3,-1,0,unknown,no
2830,2830,52,services,married,secondary,no,992,yes,no,cellular,27,oct,424,1,515,1,failure,yes
5701,5701,27,technician,married,secondary,no,7102,yes,no,unknown,30,may,141,9,-1,0,unknown,no
940,940,32,blue-collar,married,secondary,no,2089,yes,no,cellular,14,nov,132,1,-1,0,unknown,yes
1470,1470,41,housemaid,married,primary,no,0,no,no,cellular,14,apr,168,1,-1,0,unknown,yes
7699,7699,57,management,married,secondary,no,657,yes,no,telephone,11,may,20,5,-1,0,unknown,no
2305,2305,32,admin.,single,tertiary,no,8866,no,no,cellular,9,jun,234,2,83,2,success,yes
3294,3294,29,technician,single,tertiary,no,2489,yes,no,cellular,3,mar,355,1,86,5,failure,yes
10928,10928,59,retired,married,secondary,no,599,yes,no,cellular,7,may,31,1,-1,0,unknown,no
2126,2126,36,technician,married,tertiary,no,911,yes,yes,cellular,25,may,117,2,21,3,failure,yes
8432,8432,41,management,divorced,tertiary,no,647,yes,no,unknown,16,may,270,1,-1,0,unknown,no
10781,10781,43,blue-collar,married,primary,no,8,no,no,telephone,7,jul,245,5,-1,0,unknown,no
6604,6604,48,entrepreneur,married,secondary,no,104,yes,yes,cellular,18,nov,55,1,-1,0,unknown,no
527,527,26,technician,single,secondary,no,223,no,yes,cellular,21,jul,1002,3,-1,0,unknown,yes
648,648,30,services,married,secondary,no,48,yes,no,cellular,31,jul,662,13,-1,0,unknown,yes
5158,5158,50,blue-collar,married,primary,no,82,no,no,telephone,5,apr,456,1,-1,0,unknown,yes
8464,8464,35,management,single,tertiary,no,0,no,no,cellular,25,aug,81,6,-1,0,unknown,no
1996,1996,42,services,married,secondary,no,146,yes,yes,cellular,15,may,670,4,346,1,failure,yes
1671,1671,44,self-employed,divorced,tertiary,no,1070,yes,no,cellular,30,apr,381,1,160,2,other,yes
3238,3238,34,management,single,tertiary,no,2159,no,no,unknown,18,feb,386,1,-1,0,unknown,yes
2161,2161,25,student,single,unknown,no,277,no,no,cellular,27,may,311,2,-1,0,unknown,yes
10113,10113,42,management,married,tertiary,no,223,no,no,cellular,6,aug,92,6,-1,0,unknown,no
2492,2492,75,retired,married,primary,no,2970,no,no,cellular,12,aug,641,1,-1,0,unknown,yes
6979,6979,50,management,divorced,tertiary,no,60,no,no,cellular,19,aug,255,2,-1,0,unknown,no
9166,9166,32,blue-collar,single,secondary,no,5252,yes,no,unknown,21,may,1162,2,-1,0,unknown,no
5251,5251,29,management,single,tertiary,no,265,no,no,cellular,22,may,491,1,-1,0,unknown,yes
2302,2302,51,self-employed,married,unknown,no,2094,no,no,cellular,8,jun,458,6,-1,0,unknown,yes
1264,1264,61,retired,married,primary,no,197,no,no,cellular,17,feb,113,1,-1,0,unknown,yes
1149,1149,59,retired,divorced,secondary,no,514,no,no,cellular,3,feb,261,1,-1,0,unknown,yes
7664,7664,57,management,married,tertiary,no,4929,yes,no,telephone,31,jul,91,4,-1,0,unknown,no
9693,9693,44,admin.,married,secondary,no,497,yes,no,cellular,3,feb,321,3,270,2,other,no
4407,4407,62,housemaid,married,tertiary,no,1528,no,no,cellular,15,oct,134,2,184,1,success,yes
2003,2003,26,blue-collar,single,secondary,no,26,yes,yes,cellular,15,may,899,1,-1,0,unknown,yes
337,337,52,retired,married,tertiary,no,2269,no,no,unknown,20,jun,1210,1,-1,0,unknown,yes
7073,7073,50,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,701,1,-1,0,unknown,no
1435,1435,27,admin.,married,secondary,no,1293,yes,no,cellular,8,apr,1665,3,-1,0,unknown,yes
10563,10563,38,admin.,married,secondary,no,0,yes,no,telephone,16,jul,284,8,-1,0,unknown,no
7321,7321,43,technician,married,primary,no,4844,yes,no,cellular,19,nov,434,1,-1,0,unknown,no
1993,1993,36,technician,single,secondary,no,125,yes,no,cellular,15,may,676,3,-1,0,unknown,yes
7543,7543,32,self-employed,married,secondary,no,67,no,no,cellular,5,aug,153,1,-1,0,unknown,no
2673,2673,34,management,married,tertiary,no,158,no,no,cellular,9,sep,278,2,132,4,failure,yes
2159,2159,56,admin.,single,secondary,no,4118,no,no,telephone,27,may,165,1,-1,0,unknown,yes
8010,8010,31,blue-collar,married,secondary,no,369,yes,yes,unknown,14,may,89,2,-1,0,unknown,no
862,862,46,admin.,married,secondary,no,22,no,no,cellular,26,aug,388,6,-1,0,unknown,yes
8666,8666,36,services,married,tertiary,no,0,yes,no,cellular,8,may,52,1,-1,0,unknown,no
7724,7724,38,technician,single,tertiary,no,221,no,no,cellular,20,aug,79,3,-1,0,unknown,no
6050,6050,41,blue-collar,married,primary,no,3658,yes,no,cellular,9,apr,268,1,330,1,failure,no
7845,7845,30,technician,married,secondary,no,418,yes,no,unknown,3,jun,112,1,-1,0,unknown,no
5515,5515,35,entrepreneur,married,secondary,no,2971,no,no,cellular,21,nov,112,2,-1,0,unknown,no
9000,9000,34,technician,single,secondary,no,920,yes,no,cellular,29,oct,250,1,342,5,failure,no
4592,4592,34,services,married,secondary,no,1076,no,no,cellular,12,may,152,1,182,6,success,yes
5622,5622,31,blue-collar,married,primary,no,55,yes,yes,cellular,17,apr,340,2,-1,0,unknown,no
6645,6645,60,retired,married,tertiary,no,3461,no,no,cellular,3,feb,128,2,-1,0,unknown,no
6550,6550,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no
5859,5859,48,management,married,tertiary,no,1600,no,no,cellular,18,nov,448,1,-1,0,unknown,no
5055,5055,25,blue-collar,single,secondary,no,1857,yes,no,cellular,12,oct,187,1,91,12,success,yes
1611,1611,45,management,married,tertiary,no,506,no,no,cellular,23,apr,229,2,-1,0,unknown,yes
7081,7081,40,self-employed,married,tertiary,no,1498,no,no,cellular,4,feb,62,1,-1,0,unknown,no
9584,9584,60,blue-collar,married,secondary,no,414,no,no,cellular,4,feb,147,1,-1,0,unknown,no
6355,6355,40,management,single,tertiary,no,1509,no,no,cellular,12,may,333,1,58,3,failure,no
8363,8363,36,blue-collar,married,primary,no,871,yes,yes,telephone,18,nov,2,1,-1,0,unknown,no
10371,10371,47,management,married,tertiary,no,60,no,no,unknown,2,jun,282,7,-1,0,unknown,no
5227,5227,59,services,divorced,secondary,no,1,yes,no,cellular,28,jan,602,1,253,5,other,yes
2564,2564,32,management,married,tertiary,no,1270,no,no,cellular,19,aug,232,3,-1,0,unknown,yes
154,154,29,management,married,tertiary,no,314,no,no,unknown,28,may,938,2,-1,0,unknown,yes
2074,2074,38,entrepreneur,married,tertiary,no,170,yes,no,cellular,18,may,442,1,-1,0,unknown,yes
381,381,59,blue-collar,divorced,primary,no,1265,no,yes,cellular,7,jul,849,1,-1,0,unknown,yes
4658,4658,43,admin.,single,secondary,no,733,yes,no,cellular,19,nov,1102,3,-1,0,unknown,yes
10871,10871,30,admin.,divorced,secondary,no,370,yes,no,unknown,15,may,160,1,-1,0,unknown,no
5152,5152,32,management,single,tertiary,no,935,no,no,cellular,10,aug,161,2,375,5,failure,yes
2850,2850,72,retired,married,secondary,no,0,no,no,cellular,29,oct,189,3,-1,0,unknown,yes
283,283,35,blue-collar,divorced,unknown,no,164,no,no,unknown,11,jun,967,2,-1,0,unknown,yes
8501,8501,53,management,married,tertiary,no,75,no,no,cellular,20,aug,216,2,-1,0,unknown,no
4168,4168,45,housemaid,married,secondary,no,360,no,no,cellular,3,nov,215,1,-1,0,unknown,yes
10876,10876,36,management,married,tertiary,no,532,yes,no,cellular,14,may,603,1,-1,0,unknown,no
2756,2756,66,housemaid,married,primary,no,40,no,no,telephone,14,oct,290,2,-1,0,unknown,yes
8159,8159,49,management,single,tertiary,no,1556,yes,no,cellular,28,jul,674,3,-1,0,unknown,no
7991,7991,45,services,married,secondary,no,0,no,no,unknown,4,jun,153,6,-1,0,unknown,no
8227,8227,27,unemployed,single,tertiary,no,3060,no,no,cellular,30,jan,533,1,-1,0,unknown,no
8775,8775,29,technician,single,tertiary,no,2269,yes,no,cellular,20,apr,53,1,346,1,failure,no
4289,4289,27,student,single,secondary,no,213,no,no,cellular,27,mar,378,1,-1,0,unknown,yes
4706,4706,47,unemployed,married,primary,no,324,no,no,cellular,21,nov,462,2,-1,0,unknown,yes
10899,10899,36,admin.,single,secondary,no,115,no,no,cellular,4,may,134,3,91,1,failure,no
5154,5154,32,management,divorced,tertiary,no,222,no,yes,cellular,15,jul,820,4,-1,0,unknown,yes
6225,6225,44,management,married,tertiary,no,7177,no,no,unknown,19,jun,89,2,-1,0,unknown,no
8886,8886,53,entrepreneur,married,secondary,no,162,yes,no,cellular,7,may,270,2,-1,0,unknown,no
3413,3413,44,services,married,primary,no,2557,yes,no,cellular,14,apr,250,1,181,8,success,yes
795,795,30,technician,married,secondary,no,289,yes,no,cellular,14,aug,1184,4,-1,0,unknown,yes
4769,4769,28,admin.,single,secondary,no,2290,yes,no,cellular,18,may,2301,1,-1,0,unknown,yes
6727,6727,47,technician,divorced,secondary,no,5735,no,no,unknown,19,jun,282,4,-1,0,unknown,no
1711,1711,33,student,single,unknown,no,1170,no,no,cellular,30,apr,352,1,-1,0,unknown,yes
8200,8200,48,blue-collar,divorced,primary,no,0,no,no,unknown,6,jun,248,2,-1,0,unknown,no
8127,8127,47,technician,divorced,secondary,no,236,no,no,cellular,18,aug,263,4,-1,0,unknown,no
3857,3857,36,student,single,unknown,no,417,no,no,cellular,10,aug,304,1,181,1,success,yes
819,819,33,self-employed,single,tertiary,no,61,no,no,cellular,19,aug,836,3,-1,0,unknown,yes
1059,1059,41,services,single,secondary,no,92,no,no,cellular,21,nov,372,1,-1,0,unknown,yes
4892,4892,29,unemployed,single,primary,no,1374,no,no,cellular,17,nov,309,3,208,4,success,yes
2700,2700,26,management,single,tertiary,no,362,no,no,cellular,15,sep,925,1,104,2,success,yes
303,303,51,blue-collar,married,secondary,no,33,no,yes,unknown,16,jun,721,3,-1,0,unknown,yes
2998,2998,37,admin.,married,secondary,no,0,yes,no,cellular,9,dec,179,1,190,1,success,yes
11073,11073,34,blue-collar,married,primary,no,6718,no,no,cellular,13,jan,278,4,97,1,other,no
3777,3777,26,technician,married,secondary,no,267,yes,no,cellular,28,jul,817,2,-1,0,unknown,yes
3124,3124,28,admin.,single,secondary,no,261,yes,yes,cellular,29,jan,254,3,142,6,success,yes
6220,6220,46,blue-collar,married,tertiary,no,993,yes,no,unknown,16,jun,78,1,-1,0,unknown,no
667,667,59,housemaid,married,primary,no,100,no,no,cellular,5,aug,1134,1,-1,0,unknown,yes
8296,8296,43,technician,married,secondary,no,2344,yes,no,unknown,27,may,111,2,-1,0,unknown,no
5861,5861,49,technician,married,primary,no,486,no,no,telephone,7,jul,229,5,-1,0,unknown,no
5142,5142,59,self-employed,married,tertiary,no,2013,no,no,cellular,17,nov,409,2,-1,0,unknown,yes
2182,2182,54,services,divorced,secondary,no,0,no,no,cellular,1,jun,174,1,81,2,success,yes
9639,9639,41,blue-collar,single,primary,no,22,yes,no,unknown,14,may,152,1,-1,0,unknown,no
1414,1414,30,blue-collar,single,tertiary,no,297,no,no,cellular,7,apr,465,4,-1,0,unknown,yes
3091,3091,47,blue-collar,married,secondary,no,820,no,no,cellular,18,jan,262,1,91,1,success,yes
9357,9357,58,retired,married,primary,no,1351,yes,no,telephone,17,apr,392,3,-1,0,unknown,no
4128,4128,31,admin.,single,secondary,no,0,no,no,cellular,17,apr,188,3,-1,0,unknown,yes
4521,4521,55,blue-collar,married,unknown,no,890,no,no,cellular,22,aug,1329,2,-1,0,unknown,yes
7269,7269,33,technician,single,tertiary,no,469,no,no,cellular,26,aug,158,9,-1,0,unknown,no
10908,10908,57,housemaid,divorced,primary,no,8278,no,no,cellular,17,nov,408,3,-1,0,unknown,no
2416,2416,52,admin.,married,secondary,no,1228,yes,yes,cellular,4,aug,218,1,-1,0,unknown,yes
6559,6559,32,management,married,tertiary,no,713,yes,no,cellular,11,aug,76,7,-1,0,unknown,no
1501,1501,31,technician,married,secondary,no,183,no,no,cellular,16,apr,495,1,-1,0,unknown,yes
560,560,40,services,married,secondary,no,471,yes,no,cellular,24,jul,430,4,-1,0,unknown,yes
4478,4478,42,unemployed,married,tertiary,no,576,no,no,cellular,3,jun,447,2,96,1,success,yes
3841,3841,61,blue-collar,married,primary,no,5,no,no,cellular,6,aug,562,2,94,3,success,yes
10957,10957,25,student,single,secondary,no,3090,no,no,cellular,21,aug,139,1,-1,0,unknown,no
6556,6556,47,blue-collar,married,primary,no,475,yes,yes,cellular,29,jan,99,2,251,7,other,no
7752,7752,56,management,divorced,tertiary,no,310,no,no,unknown,20,jun,75,4,-1,0,unknown,no
4758,4758,53,blue-collar,divorced,primary,no,4401,no,no,telephone,11,nov,241,1,92,1,success,yes
2443,2443,67,management,married,tertiary,no,405,no,no,cellular,7,aug,345,2,-1,0,unknown,yes
3327,3327,28,management,single,tertiary,no,187,no,no,cellular,9,mar,295,1,-1,0,unknown,yes
1342,1342,32,management,married,tertiary,no,8929,no,no,cellular,11,mar,126,1,-1,0,unknown,yes
7678,7678,37,management,married,tertiary,no,1689,yes,no,unknown,29,may,645,2,-1,0,unknown,no
1855,1855,29,management,single,tertiary,no,3041,yes,no,cellular,8,may,606,3,-1,0,unknown,yes
7813,7813,26,technician,married,secondary,no,744,no,no,cellular,15,apr,609,1,-1,0,unknown,no
10777,10777,42,management,married,tertiary,no,0,no,no,cellular,6,aug,81,3,-1,0,unknown,no
452,452,58,management,married,tertiary,no,3864,yes,no,cellular,15,jul,815,4,-1,0,unknown,yes
973,973,30,management,single,tertiary,no,5561,yes,no,cellular,19,nov,511,1,-1,0,unknown,yes
1311,1311,29,technician,single,secondary,no,316,yes,no,cellular,3,mar,156,1,-1,0,unknown,yes
5571,5571,38,blue-collar,married,secondary,no,35,yes,no,unknown,28,may,130,2,-1,0,unknown,no
11003,11003,35,management,single,tertiary,no,805,no,no,cellular,17,sep,613,1,-1,0,unknown,no
5956,5956,56,services,married,primary,no,444,yes,no,unknown,6,jun,432,1,-1,0,unknown,no
10286,10286,32,blue-collar,married,secondary,no,43,yes,no,unknown,21,may,173,2,-1,0,unknown,no
1219,1219,49,services,married,secondary,no,320,no,no,telephone,9,feb,1971,4,-1,0,unknown,yes
8546,8546,34,technician,married,secondary,no,652,yes,yes,cellular,18,jul,50,4,-1,0,unknown,no
8572,8572,29,blue-collar,married,secondary,no,100,yes,yes,cellular,6,may,152,4,344,2,failure,no
2223,2223,60,technician,married,secondary,no,294,no,no,telephone,3,jun,206,4,-1,0,unknown,yes
3312,3312,31,technician,married,tertiary,no,1570,yes,no,cellular,8,mar,277,4,286,1,failure,yes
4078,4078,33,admin.,married,secondary,no,51,yes,yes,cellular,25,oct,253,1,284,3,success,yes
10514,10514,49,blue-collar,married,primary,no,6215,yes,no,cellular,11,may,549,1,-1,0,unknown,no
8045,8045,42,technician,single,secondary,no,49,no,no,cellular,9,feb,7,10,-1,0,unknown,no
3366,3366,33,management,single,tertiary,no,4176,no,no,cellular,26,mar,288,3,-1,0,unknown,yes
480,480,27,student,married,secondary,no,119,yes,no,cellular,16,jul,781,2,-1,0,unknown,yes
2777,2777,47,services,single,unknown,no,1784,no,no,cellular,19,oct,385,2,-1,0,unknown,yes
5894,5894,29,services,married,secondary,no,376,no,yes,telephone,28,jan,49,3,183,4,failure,no
8889,8889,54,retired,married,primary,no,11,yes,yes,cellular,18,aug,48,10,-1,0,unknown,no
10101,10101,34,admin.,married,secondary,no,3185,yes,no,unknown,13,may,520,1,-1,0,unknown,no
10667,10667,51,retired,single,tertiary,no,730,yes,no,unknown,18,nov,287,2,-1,0,unknown,no
1220,1220,34,admin.,married,secondary,no,0,yes,no,cellular,10,feb,97,1,85,1,failure,yes
4665,4665,49,admin.,single,secondary,no,716,yes,no,unknown,15,may,1257,3,-1,0,unknown,yes
6065,6065,39,admin.,married,secondary,no,1221,no,no,unknown,12,jun,97,1,-1,0,unknown,no
2746,2746,73,retired,divorced,secondary,no,7111,yes,no,cellular,12,oct,146,1,-1,0,unknown,yes
2098,2098,43,services,married,secondary,no,2145,no,no,cellular,22,may,271,1,183,3,failure,yes
2766,2766,31,management,married,tertiary,no,6138,no,no,cellular,16,oct,154,2,119,5,failure,yes
4845,4845,34,management,married,tertiary,no,8000,no,no,cellular,12,feb,291,1,260,2,failure,yes
8495,8495,31,admin.,married,secondary,no,212,yes,no,cellular,18,jul,191,3,-1,0,unknown,no
2517,2517,28,technician,single,secondary,no,113,no,no,cellular,13,aug,204,3,105,1,failure,yes
10735,10735,33,blue-collar,married,secondary,no,686,yes,yes,telephone,14,may,30,6,343,12,other,no
924,924,59,retired,divorced,secondary,no,1026,no,no,unknown,5,nov,669,1,-1,0,unknown,yes
5225,5225,38,management,single,tertiary,no,3646,yes,no,cellular,12,may,1710,2,286,1,other,yes
4254,4254,36,technician,single,secondary,no,1228,yes,no,cellular,4,may,303,3,-1,0,unknown,yes
3220,3220,32,management,married,tertiary,no,905,no,no,cellular,12,feb,666,4,-1,0,unknown,yes
5102,5102,36,technician,divorced,secondary,no,3158,yes,no,cellular,3,jun,144,2,-1,0,unknown,yes
7935,7935,34,management,single,tertiary,no,416,no,no,cellular,14,aug,1217,4,-1,0,unknown,no
4025,4025,26,unemployed,single,tertiary,no,3466,no,no,cellular,6,oct,275,2,-1,0,unknown,yes
4867,4867,24,self-employed,single,tertiary,no,2376,no,no,cellular,27,apr,122,1,-1,0,unknown,yes
1251,1251,37,technician,single,secondary,no,2442,no,no,cellular,16,feb,91,3,-1,0,unknown,yes
2274,2274,40,admin.,single,secondary,no,985,yes,no,cellular,4,jun,592,3,50,8,failure,yes
3917,3917,41,unemployed,single,tertiary,no,7968,no,no,cellular,2,sep,404,1,184,4,success,yes
9005,9005,36,management,married,tertiary,no,1257,no,no,cellular,8,feb,108,9,101,1,other,no
1596,1596,45,technician,married,tertiary,no,5110,no,no,cellular,22,apr,341,2,-1,0,unknown,yes
3105,3105,38,housemaid,divorced,secondary,no,70,no,no,cellular,27,jan,164,4,92,4,success,yes
1224,1224,61,retired,married,tertiary,no,1257,no,no,cellular,10,feb,503,1,-1,0,unknown,yes
5422,5422,57,entrepreneur,divorced,tertiary,no,873,no,no,unknown,17,jun,441,3,-1,0,unknown,no
11050,11050,31,blue-collar,married,secondary,no,435,yes,no,unknown,21,may,204,1,-1,0,unknown,no
1938,1938,33,services,married,secondary,no,210,yes,no,cellular,13,may,1207,2,-1,0,unknown,yes
451,451,25,services,single,secondary,no,333,no,yes,cellular,15,jul,1056,2,-1,0,unknown,yes
934,934,47,blue-collar,married,secondary,no,1230,yes,no,telephone,12,nov,378,1,-1,0,unknown,yes
889,889,32,admin.,married,secondary,no,8749,yes,yes,unknown,21,oct,294,1,-1,0,unknown,yes
7534,7534,53,blue-collar,married,secondary,no,3079,no,no,cellular,5,apr,759,1,-1,0,unknown,no
2264,2264,38,technician,single,secondary,no,1130,no,no,cellular,4,jun,96,2,98,1,success,yes
2439,2439,53,admin.,divorced,secondary,no,0,yes,yes,cellular,6,aug,1452,1,98,2,failure,yes
3478,3478,49,admin.,married,secondary,no,0,no,no,cellular,30,apr,551,1,-1,0,unknown,yes
5415,5415,22,student,single,secondary,no,2162,no,no,telephone,2,feb,168,1,-1,0,unknown,no
4464,4464,40,housemaid,single,tertiary,no,7441,no,no,cellular,31,jul,1461,6,-1,0,unknown,yes
3671,3671,28,services,single,secondary,no,198,no,no,cellular,5,jul,128,2,-1,0,unknown,yes
5954,5954,30,admin.,single,secondary,no,523,no,yes,cellular,12,jun,136,3,101,1,success,no
6182,6182,34,blue-collar,married,secondary,no,1682,yes,yes,cellular,28,jul,123,3,-1,0,unknown,no
1468,1468,65,retired,married,secondary,no,2,no,no,cellular,14,apr,450,1,-1,0,unknown,yes
5189,5189,27,blue-collar,single,secondary,no,3792,no,no,cellular,22,apr,279,2,-1,0,unknown,yes
75,75,36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,-1,0,unknown,yes
4568,4568,28,student,single,tertiary,no,3054,no,no,cellular,30,apr,384,1,80,6,other,yes
1913,1913,40,blue-collar,married,unknown,no,87,yes,no,cellular,13,may,477,3,-1,0,unknown,yes
4508,4508,23,services,single,secondary,no,279,yes,no,cellular,18,may,843,1,370,1,failure,yes
11083,11083,50,management,single,tertiary,no,490,no,no,cellular,14,aug,273,5,-1,0,unknown,no
1280,1280,37,technician,single,secondary,no,1130,no,no,cellular,26,feb,152,1,-1,0,unknown,yes
4408,4408,36,blue-collar,married,secondary,no,324,yes,yes,cellular,16,jul,830,1,-1,0,unknown,yes
3303,3303,25,blue-collar,single,secondary,no,509,no,no,cellular,5,mar,418,1,-1,0,unknown,yes
596,596,48,management,married,secondary,no,268,yes,no,cellular,28,jul,458,7,-1,0,unknown,yes
4948,4948,35,technician,single,tertiary,no,670,no,no,cellular,13,apr,278,4,182,2,success,yes
2979,2979,68,retired,married,tertiary,no,2820,no,no,cellular,3,dec,154,1,97,2,failure,yes
9438,9438,32,services,married,secondary,no,144,yes,no,unknown,19,may,260,11,-1,0,unknown,no
1228,1228,33,management,married,secondary,no,369,no,no,cellular,11,feb,446,1,-1,0,unknown,yes
6977,6977,29,unemployed,single,secondary,no,670,yes,no,unknown,26,sep,6,1,-1,0,unknown,no
1825,1825,35,management,married,tertiary,no,802,yes,no,cellular,6,may,686,2,-1,0,unknown,yes
5093,5093,37,blue-collar,single,secondary,no,133,yes,no,cellular,11,may,1388,2,-1,0,unknown,yes
7827,7827,39,management,single,secondary,no,2644,no,no,cellular,19,aug,192,7,-1,0,unknown,no
3487,3487,26,technician,single,tertiary,no,401,no,no,cellular,5,may,188,2,-1,0,unknown,yes
8147,8147,32,technician,single,secondary,no,945,no,no,cellular,4,may,312,3,-1,0,unknown,no
9502,9502,49,blue-collar,married,primary,no,1898,no,no,cellular,21,aug,159,1,-1,0,unknown,no
7072,7072,49,admin.,divorced,secondary,no,169,yes,no,unknown,30,may,447,1,-1,0,unknown,no
5698,5698,35,unknown,married,primary,no,634,no,no,cellular,7,jul,185,2,-1,0,unknown,no
1908,1908,40,services,married,secondary,no,1836,yes,no,cellular,12,may,750,2,-1,0,unknown,yes
6515,6515,43,technician,married,secondary,no,629,no,no,cellular,5,aug,196,1,-1,0,unknown,no
374,374,45,technician,married,secondary,no,879,no,no,cellular,7,jul,621,2,-1,0,unknown,yes
